# Timestamp Wed May  7 14:21:36 2025
# At the Calibration unit focal plane for NCPA calibration mode
# Source is NCPA MGG Lamps
# nm, W/nm, photons/s/nm
2.144219999999999970e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.146910000000000025e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.149600000000000080e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.152299999999999898e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.154989999999999952e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.157680000000000007e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.160370000000000061e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.163069999999999879e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.165759999999999934e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.168449999999999989e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.171140000000000043e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.173839999999999861e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.176529999999999916e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.179219999999999970e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.181910000000000025e+02,0.000000000000000000e+00,0.000000000000000000e+00
