# Timestamp Wed May  7 14:21:36 2025
# At the Calibration unit focal plane for Spectrograph Grid Pinholes calibration mode
# Source is Thorlabs OSL2IR QTH
# nm, W/nm, W/mm^2/nm, W/mm^2/sr/nm, photons/s/nm, photons/s/mm^2/nm, photons/s/mm^2/sr/nm
7.590000000000000000e+02,1.421431648828811745e-15,4.348863382898279525e-18,1.247241873803724965e-15,5.424166020417637810e+03,1.659521019416689214e+01,4.759459940759313213e+03
7.600000000000000000e+02,1.423554622949424100e-15,4.355358612143793163e-18,1.249104687413096389e-15,5.439424401415597458e+03,1.664189313840765649e+01,4.772848478803183752e+03
7.610000000000000000e+02,1.412336084568015335e-15,4.321035547213624820e-18,1.239260928239944209e-15,5.403658925873603039e+03,1.653246883574443515e+01,4.741465894372034199e+03
7.620000000000000000e+02,1.406219588155982094e-15,4.302322155472392531e-18,1.233893979746610869e-15,5.387326928983702601e+03,1.648250116877809646e+01,4.727135307023215319e+03
7.630000000000000000e+02,1.419335871073173731e-15,4.342451360802319719e-18,1.245402923772485838e-15,5.444712265604985987e+03,1.665807133379673388e+01,4.777488340062376665e+03
7.640000000000000000e+02,1.397958688305458322e-15,4.277047971589309422e-18,1.226645414388324710e-15,5.369735735874159218e+03,1.642868099695441231e+01,4.711699832039618741e+03
7.650000000000000000e+02,1.405327951191853925e-15,4.299594196412714088e-18,1.233111608706253068e-15,5.405107504584054368e+03,1.653690075543351767e+01,4.742736956562512205e+03
7.660000000000000000e+02,1.404814833371982155e-15,4.298024314878282687e-18,1.232661371066148222e-15,5.410196894735739079e+03,1.655247172044628101e+01,4.747202665845498814e+03
7.670000000000000000e+02,1.390803297874243341e-15,4.255156088527404640e-18,1.220366883460313431e-15,5.363228403567343776e+03,1.640877184464816096e+01,4.705989942755457378e+03
7.680000000000000000e+02,1.388658723898960802e-15,4.248594774629049172e-18,1.218485116957051786e-15,5.361940170710920938e+03,1.640483050233841311e+01,4.704859576787410333e+03
7.690000000000000000e+02,1.389569393148392119e-15,4.251380962875277113e-18,1.219284187965504256e-15,5.372442751790415969e+03,1.643696309930160382e+01,4.714075115864619875e+03
7.700000000000000000e+02,1.380522010226924547e-15,4.223700537769610756e-18,1.211345519344126321e-15,5.344403961160041035e+03,1.635117855245148633e+01,4.689472347385507419e+03
7.710000000000000000e+02,1.378017046172454969e-15,4.216036612134540466e-18,1.209147526873871423e-15,5.341634703866076961e+03,1.634270602290462904e+01,4.687042449571416910e+03
7.720000000000000000e+02,1.372300019455243849e-15,4.198545396028570045e-18,1.204131094939746710e-15,5.326373127297378232e+03,1.629601330183034946e+01,4.673651107558997865e+03
7.730000000000000000e+02,1.375182744170306956e-15,4.207365078611720030e-18,1.206660555275203659e-15,5.344475923799132033e+03,1.635139872180422316e+01,4.689535491341038323e+03
7.740000000000000000e+02,1.378201865927401299e-15,4.216602067297569124e-18,1.209309697835567010e-15,5.363138482794412994e+03,1.640849673247018004e+01,4.705911041351075255e+03
7.750000000000000000e+02,1.363264904245769194e-15,4.170902503929518990e-18,1.196203190679852959e-15,5.311866771193923341e+03,1.625163117418490799e+01,4.660922437289524169e+03
7.760000000000000000e+02,1.358502157324499839e-15,4.156330902329831967e-18,1.192024096032965475e-15,5.300139135665219328e+03,1.621575052894896984e+01,4.650631968434295231e+03
7.770000000000000000e+02,1.367914695380225551e-15,4.185128517835585902e-18,1.200283171741280555e-15,5.343739156915210515e+03,1.634914458701986462e+01,4.688889011779663633e+03
7.780000000000000000e+02,1.355404158806610568e-15,4.146852590568712176e-18,1.189305742688520766e-15,5.301681425598507303e+03,1.622046915767952768e+01,4.651985257977221409e+03
7.790000000000000000e+02,1.345882996537546647e-15,4.117722639797824165e-18,1.180951354154227852e-15,5.271205903985665827e+03,1.612722944395427760e+01,4.625244368457232667e+03
7.800000000000000000e+02,1.341331363877631972e-15,4.103796941278717623e-18,1.176957502707135108e-15,5.260122995598557281e+03,1.609332133834791279e+01,4.615519618459353296e+03
7.810000000000000000e+02,1.340281055734010189e-15,4.100583528498496847e-18,1.176035904895378726e-15,5.262742606979699303e+03,1.610133602693477428e+01,4.617818208764660085e+03
7.820000000000000000e+02,1.329629610150595661e-15,4.067995481292138329e-18,1.166689743960294223e-15,5.227603595463881902e+03,1.599382838798618778e+01,4.586985318134490626e+03
7.830000000000000000e+02,1.334285950578710306e-15,4.082241532731067212e-18,1.170775471730190965e-15,5.252618900468226457e+03,1.607036259491415819e+01,4.608935114955956124e+03
7.840000000000000000e+02,1.329444232352547885e-15,4.067428318798890015e-18,1.166527083341059218e-15,5.240242725813965080e+03,1.603249774730181088e+01,4.598075582400153507e+03
7.850000000000000000e+02,1.322926176093261109e-15,4.047486356610951783e-18,1.160807784274453295e-15,5.221201851348466334e+03,1.597424228225036380e+01,4.581368077704604730e+03
7.860000000000000000e+02,1.325884658586818906e-15,4.056537819757829320e-18,1.163403718628328710e-15,5.239544201353643984e+03,1.603036061503094345e+01,4.597462658832913803e+03
7.870000000000000000e+02,1.317030535002980048e-15,4.029448670678350402e-18,1.155634626320094197e-15,5.211176626683485665e+03,1.594357015497165264e+01,4.572571397254469957e+03
7.880000000000000000e+02,1.320547347927835572e-15,4.040208343129719598e-18,1.158720470332240738e-15,5.231731071730187978e+03,1.600645638203227250e+01,4.590606991562623080e+03
7.890000000000000000e+02,1.313001619148459896e-15,4.017122221744321547e-18,1.152099435188020094e-15,5.208437795415459732e+03,1.593519071370673679e+01,4.570168196899688155e+03
7.900000000000000000e+02,1.301810057684644862e-15,3.982881692565487139e-18,1.142279347037865575e-15,5.170587961643386734e+03,1.581938932693180178e+01,4.536956682553614883e+03
7.910000000000000000e+02,1.306515493831374356e-15,3.997277952122490396e-18,1.146408154076562345e-15,5.195845930722057346e+03,1.589666596344338956e+01,4.559119406106389761e+03
7.920000000000000000e+02,1.310763001901347930e-15,4.010273182902171250e-18,1.150135149974363869e-15,5.219327790376408302e+03,1.596850860160140684e+01,4.579723674106064209e+03
7.930000000000000000e+02,1.290416587147334009e-15,3.948023423534635661e-18,1.132282092823220914e-15,5.144798157907672248e+03,1.574048554481129436e+01,4.514327298184083702e+03
7.940000000000000000e+02,1.283259103212020759e-15,3.926125135406878503e-18,1.126001724940209708e-15,5.122713564355678500e+03,1.567291783566144581e+01,4.494949067886005651e+03
7.950000000000000000e+02,1.293498031365370094e-15,3.957451087493928072e-18,1.134985920519538146e-15,5.170090170615732859e+03,1.581786633764541605e+01,4.536519893479300663e+03
7.960000000000000000e+02,1.285750965705041536e-15,3.933748976876881480e-18,1.128188221383860251e-15,5.145589586230333225e+03,1.574290691600803527e+01,4.515021740681512711e+03
7.970000000000000000e+02,1.278491799581121037e-15,3.911539592575705647e-18,1.121818631987063711e-15,5.122966135073673286e+03,1.567369057457434778e+01,4.495170687248314607e+03
7.980000000000000000e+02,1.277825772090447154e-15,3.909501884629226332e-18,1.121234223038411479e-15,5.126721800543875361e+03,1.568518101525451414e+01,4.498466113547774512e+03
7.990000000000000000e+02,1.287944981951490093e-15,3.940461559169196541e-18,1.130113371240085124e-15,5.173796081343593869e+03,1.582920455392754633e+01,4.539771662246496817e+03
8.000000000000000000e+02,1.268322418477976134e-15,3.880426419358657698e-18,1.112895460793456639e-15,5.101347082867678182e+03,1.560754718696293075e+01,4.476200948389971927e+03
8.010000000000000000e+02,1.267835613737675931e-15,3.878937042566282581e-18,1.112468311688560336e-15,5.105763331341771845e+03,1.562105867820810623e+01,4.480076006347596376e+03
8.020000000000000000e+02,1.274087225585100567e-15,3.898063819340783110e-18,1.117953817855036963e-15,5.137345173048017386e+03,1.571768317300808526e+01,4.507787641627650373e+03
8.030000000000000000e+02,1.262083614021492131e-15,3.861338826735951874e-18,1.107421192532290778e-15,5.095289804219498365e+03,1.558901497168913863e+01,4.470885960801556394e+03
8.040000000000000000e+02,1.252189462309806660e-15,3.831067716535723378e-18,1.098739522660405861e-15,5.061640662127122596e+03,1.548606558117004361e+01,4.441360363091836916e+03
8.050000000000000000e+02,1.255313494326446343e-15,3.840625677662704099e-18,1.101480719220554911e-15,5.080580004689740235e+03,1.554401040984654081e+01,4.457978778142517513e+03
8.060000000000000000e+02,1.259252485025357586e-15,3.852677001009969199e-18,1.104937005102646690e-15,5.102853207292299885e+03,1.561215516749138210e+01,4.477522504337523969e+03
8.070000000000000000e+02,1.245665074652957688e-15,3.811106383466994562e-18,1.093014668079283177e-15,5.054055883584398543e+03,1.546285998721902821e+01,4.434705063549429724e+03
8.080000000000000000e+02,1.250162716580695115e-15,3.824866897597266675e-18,1.096961145104943519e-15,5.078589617884373183e+03,1.553792083086270459e+01,4.456232303895397308e+03
8.090000000000000000e+02,1.252160835739639205e-15,3.830980133680169097e-18,1.098714404142012254e-15,5.093002092073244057e+03,1.558201572723608308e+01,4.468878597038149564e+03
8.100000000000000000e+02,1.243907486164022633e-15,3.805729049827328451e-18,1.091472463807891459e-15,5.065686595238102200e+03,1.549844409431944037e+01,4.444910486095486704e+03
8.110000000000000000e+02,1.244079065414769519e-15,3.806253995730603545e-18,1.091623016827013912e-15,5.072640130977266381e+03,1.551971840390910096e+01,4.451011898676261808e+03
8.120000000000000000e+02,1.240721899958973540e-15,3.795982763953070485e-18,1.088677256236129334e-15,5.065189455840555638e+03,1.549692309869227458e+01,4.444474268797069271e+03
8.130000000000000000e+02,1.230350191867787277e-15,3.764250572276436432e-18,1.079576552276951859e-15,5.029033212611921954e+03,1.538630324414652328e+01,4.412748803424645303e+03
8.140000000000000000e+02,1.223147889994908644e-15,3.742215163881421500e-18,1.073256858684206421e-15,5.005743501537735938e+03,1.531504848365750249e+01,4.392313137098763946e+03
8.150000000000000000e+02,1.232130738609754761e-15,3.769698146582285662e-18,1.081138901375254597e-15,5.048700613207391143e+03,1.544647556291886836e+01,4.430006056414442355e+03
8.160000000000000000e+02,1.224857132144258315e-15,3.747444582124597603e-18,1.074756641232945565e-15,5.025054901104649616e+03,1.537413161897270797e+01,4.409258015314648219e+03
8.170000000000000000e+02,1.215824020017680709e-15,3.719807818448162389e-18,1.066830494587544206e-15,4.994108719730745179e+03,1.527945192394242824e+01,4.382104143177595688e+03
8.180000000000000000e+02,1.220145034798712697e-15,3.733027942661434309e-18,1.070621989294073686e-15,5.017992149147044074e+03,1.535252316288111274e+01,4.403060770450238124e+03
8.190000000000000000e+02,1.221903580844458976e-15,3.738408205941618757e-18,1.072165033778185145e-15,5.031367685830125993e+03,1.539344555387725677e+01,4.414797197910174873e+03
