# Timestamp Tue Jun  3 17:29:50 2025
# At the Calibration unit focal plane for Spectrograph Ronchi calibration mode
# Source is Thorlabs SLS201L QTH
# nm, W/nm, W/mm^2/nm, W/mm^2/sr/nm, photons/s/nm, photons/s/mm^2/nm, photons/s/mm^2/sr/nm
8.530000000000000000e+02,1.060959526782959723e-13,3.246000636446485406e-16,9.309439179189535246e-14,4.550017477857540362e+05,1.392075687726924343e+03,3.992434198013411369e+05
8.540000000000000000e+02,1.063892375203536621e-13,3.254973672268747541e-16,9.335173595351413487e-14,4.567944134860837366e+05,1.397560339928361600e+03,4.008164027365565416e+05
8.550000000000000000e+02,1.066977588945340761e-13,3.264412869068116545e-16,9.362244948177863868e-14,4.586555246597619844e+05,1.403254400730638736e+03,4.024494434737091651e+05
8.560000000000000000e+02,1.066681088709138002e-13,3.263505728002765148e-16,9.359643292934789297e-14,4.590643599472208880e+05,1.404505230352120407e+03,4.028081779161478626e+05
8.570000000000000000e+02,1.067245812464290276e-13,3.265233497651244722e-16,9.364598488037825006e-14,4.598439724896414555e+05,1.406890451225297511e+03,4.034922526017303462e+05
8.580000000000000000e+02,1.071999917372893272e-13,3.279778659054197351e-16,9.406313604760821851e-14,4.624313369059540564e+05,1.414806480376320678e+03,4.057625476563492557e+05
8.590000000000000000e+02,1.073931960549570261e-13,3.285689735982976794e-16,9.423266408322876941e-14,4.638047029221121338e+05,1.419008287184201890e+03,4.069676141151007032e+05
8.600000000000000000e+02,1.076003223823351788e-13,3.292026756138052417e-16,9.441440805163277654e-14,4.652402073846569401e+05,1.423400206273868889e+03,4.082272042453705217e+05
8.610000000000000000e+02,1.077852542550969896e-13,3.297684738007580331e-16,9.457667739163201400e-14,4.665817190228181425e+05,1.427504554763462693e+03,4.094043199305941816e+05
8.620000000000000000e+02,1.082675736651356111e-13,3.312441277464868679e-16,9.499989082243196649e-14,4.692139190515178489e+05,1.435557758257776186e+03,4.117139562038027216e+05
8.630000000000000000e+02,1.080524753147503328e-13,3.305860353644274471e-16,9.481115176501216627e-14,4.688249683088464080e+05,1.434367765306691581e+03,4.113726695485445671e+05
8.640000000000000000e+02,1.085897102041593065e-13,3.322297029586386333e-16,9.528255104101061949e-14,4.717019085791535908e+05,1.443169750408566188e+03,4.138970542957927682e+05
8.650000000000000000e+02,1.084073411858627049e-13,3.316717458127578242e-16,9.512253048969433202e-14,4.714547517635558615e+05,1.442413575304351980e+03,4.136801853875596425e+05
8.660000000000000000e+02,1.086802439101278830e-13,3.325066904023396783e-16,9.536199026636323135e-14,4.731879900762733305e+05,1.447716409695456150e+03,4.152010234825066291e+05
8.670000000000000000e+02,1.091985810093665441e-13,3.340925402972213988e-16,9.581680758765270758e-14,4.759938146562131587e+05,1.456300816680195794e+03,4.176630074333579396e+05
8.680000000000000000e+02,1.092477390763855513e-13,3.342429391699418172e-16,9.585994156435280740e-14,4.767573530331959482e+05,1.458636858720510645e+03,4.183329777670098119e+05
8.690000000000000000e+02,1.093991160740122185e-13,3.347060763756837708e-16,9.599276802162652391e-14,4.779679832494551665e+05,1.462340776121011686e+03,4.193952509341048426e+05
8.700000000000000000e+02,1.094788475063727341e-13,3.349500143145528892e-16,9.606272874128568622e-14,4.788667537986138486e+05,1.465090560350231726e+03,4.201838813721396145e+05
8.710000000000000000e+02,1.096414715730826653e-13,3.354475618747718742e-16,9.620542399213084557e-14,4.801293199605581467e+05,1.468953375530046969e+03,4.212917259786122595e+05
8.720000000000000000e+02,1.102664566828293669e-13,3.373597008516080633e-16,9.675382011094682205e-14,4.834205642404585960e+05,1.479022921782816866e+03,4.241796437242113752e+05
8.730000000000000000e+02,1.104908179908221104e-13,3.380461332085017124e-16,9.695068699400833221e-14,4.849596988737441716e+05,1.483731896887994253e+03,4.255301646343352622e+05
8.740000000000000000e+02,1.109686472832394889e-13,3.395080496606802821e-16,9.736996055002069512e-14,4.876148704150393023e+05,1.491855381616061095e+03,4.278599573691206169e+05
8.750000000000000000e+02,1.112426388758889674e-13,3.403463256379156936e-16,9.761037575936556206e-14,4.893781247682396206e+05,1.497250049940554391e+03,4.294071331797128078e+05
8.760000000000000000e+02,1.119758362101714888e-13,3.425895394020999315e-16,9.825372320265058176e-14,4.931665787838624092e+05,1.508840807019806789e+03,4.327313299422921846e+05
8.770000000000000000e+02,1.126063586157946410e-13,3.445186197093878602e-16,9.880697804773062746e-14,4.965096858021715307e+05,1.519069027074576070e+03,4.356647548912004568e+05
