# Timestamp Tue Jun  3 17:26:31 2025
# At the Calibration unit focal plane for Spectrograph Ronchi calibration mode
# Source is LDLS 600um Core
# nm, W/nm, W/mm^2/nm, W/mm^2/sr/nm, photons/s/nm, photons/s/mm^2/nm, photons/s/mm^2/sr/nm
8.060000000000000000e+02,2.308439197076218800e-12,7.062658766662172224e-15,2.025550811462240178e-12,9.354459491419974715e+06,2.861992441392514957e+04,8.208114399389471859e+06
8.070000000000000000e+02,2.332540324375704679e-12,7.136396051241184756e-15,2.046698458764564308e-12,9.463851391509270296e+06,2.895460841302984772e+04,8.304100835711430758e+06
8.080000000000000000e+02,2.356876225391661328e-12,7.210851624891407498e-15,2.068052109366654648e-12,9.574439367101371288e+06,2.929295179945831114e+04,8.401136774098830298e+06
8.090000000000000000e+02,2.384463946307766223e-12,7.295256126091670734e-15,2.092259084607235591e-12,9.698498404037119821e+06,2.967250983412851565e+04,8.509992958508063108e+06
8.100000000000000000e+02,2.421193745094409668e-12,7.407630771144824025e-15,2.124487818996844065e-12,9.860065025271352381e+06,3.016682214493367792e+04,8.651760348855927587e+06
8.110000000000000000e+02,2.462273675214896787e-12,7.533314622366376123e-15,2.160533596548947092e-12,1.003973831372187845e+07,3.071653171814545931e+04,8.809415519362475723e+06
8.120000000000000000e+02,2.510572529326234291e-12,7.681084737273982774e-15,2.202913652849249911e-12,1.024929559483611025e+07,3.135767122507025852e+04,8.993292539535399526e+06
8.130000000000000000e+02,2.569572791556580480e-12,7.861595759528455795e-15,2.254683709946065282e-12,1.050308033954499848e+07,3.213412444694135775e+04,9.215977155284823850e+06
8.140000000000000000e+02,2.634495191206396579e-12,8.060225533108919406e-15,2.311650174325685283e-12,1.078169474933135696e+07,3.298654391126526752e+04,9.460448677230305970e+06
8.150000000000000000e+02,2.710318978725751454e-12,8.292208051133812676e-15,2.378182112672813578e-12,1.110563080775006302e+07,3.397762474446484703e+04,9.744687892550744116e+06
8.160000000000000000e+02,2.807242182905237993e-12,8.588744134283953375e-15,2.463227833228908403e-12,1.151689100679071993e+07,3.523587337142134493e+04,1.010555008504167572e+07
8.170000000000000000e+02,2.935673122743003304e-12,8.981677985132053745e-15,2.575920164365345077e-12,1.205854671332847700e+07,3.689306643465504749e+04,1.058082842778525501e+07
8.180000000000000000e+02,3.100132191034501650e-12,9.484839723980179323e-15,2.720225545963476819e-12,1.274966381229875609e+07,3.900753591863140900e+04,1.118725237103129178e+07
8.190000000000000000e+02,3.337583292178516461e-12,1.021132024089066695e-14,2.928578129481396125e-12,1.374299002661742270e+07,4.204661275660863612e+04,1.205885112139398605e+07
8.200000000000000000e+02,3.705978961444857755e-12,1.133842504245516709e-14,3.251828639075379118e-12,1.527854574351324327e+07,4.674463818407862709e+04,1.340623169452896714e+07
8.210000000000000000e+02,4.344623509334581066e-12,1.329235500545666903e-14,3.812210296020209245e-12,1.793331272581041604e+07,5.486688516581159638e+04,1.573566944712213241e+07
8.220000000000000000e+02,5.239305630750037094e-12,1.602963070940155827e-14,4.597253323936703676e-12,2.165263563839381933e+07,6.624613596343933023e+04,1.899920679877310619e+07
8.230000000000000000e+02,6.022622348574687613e-12,1.842618448964593473e-14,5.284578255618355199e-12,2.492015179928088933e+07,7.624308614871095051e+04,2.186630419494171441e+07
8.240000000000000000e+02,6.565901526512396953e-12,2.008834455592213276e-14,5.761281120963927405e-12,2.720112045171551779e+07,8.322169891442856169e+04,2.386775084803558141e+07
8.250000000000000000e+02,6.823639594483276792e-12,2.087689295154920703e-14,5.987434598770208505e-12,2.830318082176322117e+07,8.659344738576219243e+04,2.483475889384325221e+07
8.260000000000000000e+02,6.714232516434404202e-12,2.054216251554922985e-14,5.891434844476359735e-12,2.788313754939576983e+07,8.530832698765040550e+04,2.446618995242571086e+07
8.270000000000000000e+02,6.373922265903181044e-12,1.950098491929998841e-14,5.592828017410912907e-12,2.650192917999965325e+07,8.108252653726038989e+04,2.325424218400616199e+07
8.280000000000000000e+02,6.031920369054264757e-12,1.845463173917101009e-14,5.292736847341825337e-12,2.511025673995440826e+07,7.682471131238611997e+04,2.203311266766732931e+07
8.290000000000000000e+02,5.710039114416222115e-12,1.746983756838543478e-14,5.010300629245912959e-12,2.379900666591779143e+07,7.281294793459793436e+04,2.088255013396110013e+07
8.300000000000000000e+02,5.366560056184949533e-12,1.641896502001834689e-14,4.708913316986690519e-12,2.239439339685022086e+07,6.851554030475228501e+04,1.965006562644018978e+07
8.310000000000000000e+02,4.976385310970605735e-12,1.522522723896329754e-14,4.366552654950638528e-12,2.079123274719242752e+07,6.361067790637758299e+04,1.824336478765198961e+07
8.320000000000000000e+02,4.627829712983327849e-12,1.415882304130803416e-14,4.060710909048449643e-12,1.935824193666229025e+07,5.922644932311858429e+04,1.698598027314384654e+07
8.330000000000000000e+02,4.410940232495598007e-12,1.349525070520162497e-14,3.870400216111000286e-12,1.847316849506703392e+07,5.651857132947689388e+04,1.620936842644777894e+07
8.340000000000000000e+02,4.276035790110872026e-12,1.308251120403697856e-14,3.752027679772014636e-12,1.792968249850410968e+07,5.485577850259849947e+04,1.573248408712850884e+07
8.350000000000000000e+02,4.163745431697541357e-12,1.273895938544716417e-14,3.653497977585538570e-12,1.747977594503492862e+07,5.347929153769926052e+04,1.533771146950188465e+07
8.360000000000000000e+02,4.045539319199448623e-12,1.237730834531359692e-14,3.549777469203266904e-12,1.700387567044112086e+07,5.202327690639601497e+04,1.492013053923545033e+07
8.370000000000000000e+02,3.884734013457883269e-12,1.188532527564474574e-14,3.408678098708776805e-12,1.634752322405353747e+07,5.001516971198920510e+04,1.434421100361612067e+07
8.380000000000000000e+02,3.687032548733616522e-12,1.128045858269251455e-14,3.235204020289595454e-12,1.553410395092393830e+07,4.752651730666832009e+04,1.363047244345239550e+07
8.390000000000000000e+02,3.523081330569525332e-12,1.077885060889872602e-14,3.091344254170083699e-12,1.486106202286491729e+07,4.546734872230282781e+04,1.303990864378431626e+07
8.400000000000000000e+02,3.401025367642087345e-12,1.040542096964953671e-14,2.984245676453759283e-12,1.436330472005708143e+07,4.394446261692111875e+04,1.260314916149400733e+07
8.410000000000000000e+02,3.285039580731706184e-12,1.005056300511300355e-14,2.882473403182724707e-12,1.388998636196764745e+07,4.249634734690818004e+04,1.218783374598628283e+07
8.420000000000000000e+02,3.175108002394893300e-12,9.714227862971564553e-15,2.786013423648724252e-12,1.344113091008798592e+07,4.112307622233312577e+04,1.179398342238424346e+07
8.430000000000000000e+02,3.053598525074702114e-12,9.342470193843902744e-15,2.679394362294196464e-12,1.294209932950213179e+07,3.959629147013781039e+04,1.135610581907495111e+07
8.440000000000000000e+02,2.909390054234360188e-12,8.901265061780005944e-15,2.552857962504958766e-12,1.234552642420211434e+07,3.777107949795036257e+04,1.083264012244437262e+07
8.450000000000000000e+02,2.760470801921337309e-12,8.445647316159729635e-15,2.422188065395672451e-12,1.172749033495993167e+07,3.588020101636486652e+04,1.029034145429534093e+07
8.460000000000000000e+02,2.639585506183887039e-12,8.075799327621844026e-15,2.316116695101416766e-12,1.122719627064639889e+07,3.434955370119698637e+04,9.851356078711908311e+06
8.470000000000000000e+02,2.534602206120783307e-12,7.754603419372273009e-15,2.223998605570561214e-12,1.079340406528056040e+07,3.302236850783466798e+04,9.470723071484491229e+06
8.480000000000000000e+02,2.448062146083860005e-12,7.489834516443674267e-15,2.148063623590616421e-12,1.043718803358025849e+07,3.193252724959394982e+04,9.158159642055518925e+06
8.490000000000000000e+02,2.374692512765439036e-12,7.265360471548124639e-15,2.083685094369208681e-12,1.013631947379516438e+07,3.101202131897616346e+04,8.894161111711706966e+06
8.500000000000000000e+02,2.312646039849184034e-12,7.075529582158670629e-15,2.029242125404260654e-12,9.883102734398223460e+06,3.023730590666098942e+04,8.671974894890004769e+06
8.510000000000000000e+02,2.264837720449109724e-12,6.929260255871896467e-15,1.987292491089387426e-12,9.690180493223693222e+06,2.964706122547503765e+04,8.502694368612714112e+06
8.520000000000000000e+02,2.224544683502948180e-12,6.805983900582277457e-15,1.951937176647514211e-12,9.528969684990005568e+06,2.915383752285621813e+04,8.361239188052701764e+06
8.530000000000000000e+02,2.194442623265165560e-12,6.713886790161418009e-15,1.925523982564450310e-12,9.411058610584145412e+06,2.879308915036546387e+04,8.257777562229644507e+06
