# Timestamp Wed May  7 14:21:36 2025
# At the Calibration unit focal plane for spectral calibration mode
# Source is Hector Xe
# nm, W/line, W/mm^2/line, W/mm^2/sr/line, photons/s/line, photons/s/mm^2/line, photons/s/mm^2/sr/line
7.251255795582919745e+02,4.814097035073807810e-15,1.472870702914329105e-17,4.224152045330980246e-15,1.755065310511689677e+04,5.369613987255817023e+01,1.539990296637995016e+04
7.270443594036629520e+02,2.149606755683315368e-14,6.576711666104034627e-17,1.886182540052966399e-14,7.857513658399008273e+04,2.404002574291204439e+02,6.894612250131639303e+04
7.302077532027890356e+02,1.279655568023449187e-14,3.915100136601289579e-17,1.122839786070609636e-14,4.697910594267681154e+04,1.437323516496511218e+02,4.122203707357065286e+04
7.322302508776399463e+02,8.319664146423364633e-15,2.545397296746814009e-17,7.300128365618262692e-15,3.062800284139410360e+04,9.370622932027080765e+01,2.687468488987248202e+04
7.342008896377519704e+02,5.083259679439717605e-15,1.555220886202526924e-17,4.460330071332802223e-15,1.876387018051460473e+04,5.740797175631515614e+01,1.646444598517124905e+04
7.373124245221380306e+02,1.446791193440960870e-14,4.426450789272423804e-17,1.269493725285241696e-14,5.363183120227414474e+04,1.640863330048457840e+02,4.705950208676233160e+04
7.380903082432339488e+02,1.972623973055072440e-14,6.035233682685285611e-17,1.730888166511948032e-14,7.320133918150886893e+04,2.239591497824600879e+02,6.423085874084313400e+04
7.412018431276210322e+02,4.501219380598567456e-15,1.377145933032105751e-17,3.949616078469297838e-15,1.677381649683975411e+04,5.131941195671716116e+01,1.471826403724449847e+04
7.427576105698140054e+02,4.975631527632736966e-15,1.522292104241885032e-17,4.365891244221856760e-15,1.858063441196745043e+04,5.684736279215670862e+01,1.630366489977827587e+04
7.430687640582519862e+02,6.137206541709393759e-15,1.877675428467832511e-17,5.385120693850522476e-15,2.292793604684876118e+04,7.014791151001213620e+01,2.011822512963310510e+04
7.440022245235679748e+02,4.822314250875416384e-15,1.475384756188606093e-17,4.231362279915452033e-15,1.803827315235300921e+04,5.518801109263373661e+01,1.582776746617502613e+04
