# Timestamp Wed May  7 14:21:36 2025
# At the Calibration unit focal plane for ACM calibration mode
# Source is ACM MGG Lamps
# nm, W/nm, photons/s/nm
2.009480000000000075e+02,4.857037213719062298e-16,4.907048335959870542e+02
2.012179999999999893e+02,2.773164261470120793e-16,2.805482988257892316e+02
2.014869999999999948e+02,2.723833935665123151e-16,2.759261579664951114e+02
2.017570000000000050e+02,7.628868223140397852e-16,7.738449301639706164e+02
2.020269999999999868e+02,3.133142314641722691e-17,3.182399911513943280e+01
2.022959999999999923e+02,8.919456206363032949e-17,9.071746167533515859e+01
2.025660000000000025e+02,1.963880267858407539e-16,2.000077276716974666e+02
2.028360000000000127e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.031049999999999898e+02,1.607901970833156428e-16,1.641895071825381081e+02
2.033750000000000000e+02,9.882064185584872445e-16,1.010439820886537859e+03
2.036440000000000055e+02,7.568871880945133581e-16,7.749398417914485435e+02
2.039139999999999873e+02,8.188834083629558333e-16,8.395263515984103151e+02
2.041829999999999927e+02,6.382277557527627576e-16,6.551797780435714458e+02
2.044530000000000030e+02,5.468999904110786462e-16,5.621686462519672887e+02
2.047230000000000132e+02,3.673109394399126278e-16,3.780643411511173895e+02
2.049919999999999902e+02,4.451728590888814038e-16,4.588078166432779312e+02
2.052620000000000005e+02,6.066296821965888773e-17,6.260332922425150315e+01
2.055310000000000059e+02,2.774497513518904553e-16,2.866994713177747940e+02
2.058009999999999877e+02,8.271495710654148497e-16,8.558482095265633234e+02
2.060699999999999932e+02,7.160896754017316814e-16,7.419034661138002775e+02
2.063400000000000034e+02,3.086478492934292569e-16,3.201930478793674979e+02
2.066090000000000089e+02,5.795646656062794852e-16,6.020275314039608929e+02
2.068789999999999907e+02,5.811645680648199973e-16,6.044783543322367905e+02
2.071479999999999961e+02,2.090539212492860305e-16,2.177229848111971080e+02
2.074180000000000064e+02,3.134475566690506944e-16,3.268711176932184799e+02
2.076870000000000118e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.079569999999999936e+02,1.281255218881147051e-16,1.339597745363834633e+02
2.082259999999999991e+02,6.455606420210733392e-16,6.758296141049775088e+02
2.084960000000000093e+02,6.222287311673584260e-16,6.522483737228234304e+02
2.087649999999999864e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.090339999999999918e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.093040000000000020e+02,2.287860515712849395e-16,2.407533219611675577e+02
2.095730000000000075e+02,1.337118479725184723e-15,1.408868432133967644e+03
2.098429999999999893e+02,1.057668850300118480e-15,1.115859248635132190e+03
2.101119999999999948e+02,7.311554235529875782e-16,7.723706805106351112e+02
2.103820000000000050e+02,6.251618856746825008e-16,6.612509192157418738e+02
2.106510000000000105e+02,7.332886268310414956e-16,7.766112746635783424e+02
2.109199999999999875e+02,5.868975518745899682e-16,6.223651666233712376e+02
2.111899999999999977e+02,4.613052088791643086e-16,4.898091858380629446e+02
2.114590000000000032e+02,5.630323402013614524e-16,5.985834873134223244e+02
2.117280000000000086e+02,4.126415090985588421e-16,4.392547080865745102e+02
2.119979999999999905e+02,7.878186356262953091e-16,8.396982157642200946e+02
2.122669999999999959e+02,4.057085984448834871e-16,4.329740928411266623e+02
2.125370000000000061e+02,4.651716398206371141e-16,4.970647803547448689e+02
2.128060000000000116e+02,6.195622270697909059e-16,6.628786289281747486e+02
2.130749999999999886e+02,2.967819060592542856e-16,3.179326527580473112e+02
2.133449999999999989e+02,4.654382902303937675e-16,4.992404828014246618e+02
2.136140000000000043e+02,3.761104029618851483e-16,4.039338744007046103e+02
2.138830000000000098e+02,2.698502146738232696e-16,2.901778454755220764e+02
2.141519999999999868e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.144219999999999970e+02,3.165140363812531946e-16,3.412145435341432176e+02
2.146910000000000025e+02,3.321130853520226447e-16,3.584800925455560900e+02
2.149600000000000080e+02,3.035814915080512153e-16,3.280939035423363634e+02
2.152299999999999898e+02,8.652805796606289570e-17,9.363214638529773026e+01
2.154989999999999952e+02,9.196772632510043451e-16,9.964280068040633296e+02
2.157680000000000007e+02,1.148063339207654255e-15,1.245426498613158401e+03
2.160370000000000061e+02,7.498209522359596271e-16,8.144246810367019407e+02
2.163069999999999879e+02,3.673109394399126278e-16,3.994566484536409234e+02
2.165759999999999934e+02,2.039875634639079396e-16,2.221156890133702291e+02
2.168449999999999989e+02,7.574204889140266649e-16,8.257558869711521083e+02
2.171140000000000043e+02,5.678320475769828899e-16,6.198305036582659113e+02
2.173839999999999861e+02,6.336946987868983679e-16,6.925846576223786997e+02
2.176529999999999916e+02,2.695835642640665176e-16,2.950008623065202187e+02
2.179219999999999970e+02,7.352885049042171357e-16,8.056085548805270946e+02
2.181910000000000025e+02,3.585114759179401567e-16,3.932829433987495804e+02
